,title,casts
46,除暴,"王千源,吴彦祖,春夏,卫诗雅,大力,于笑,胡子程,李晓川,洪浚嘉,纪焕博,庞雨浓,答有为,鲍起静,尤勇,王超北"
47,雪豹之虎啸军魂,"文章,乔鹏樾,冯越,吴承轩,杜玉明,赵家林,刘广楠,林雪松,张政勇"
48,扫毒,"古天乐,张家辉,刘青云,袁泉,卢海鹏,吴廷烨,林国斌,卢惠光,吴岱融,宝儿,马浴柯,释彦能,罗兰,李兆基,维他亚·潘斯林加姆"
49,云南虫谷,"蔡珩,顾璇,于恒,成泰燊"
50,侠盗联盟,"刘德华,舒淇,张静初,杨祐宁,让·雷诺,曾志伟,沙溢,游天翼"
51,换灵卧底,"姚震宇,徐超,刘冠成,常冶凝,郗达,宋奇璐,王嘉豪,徐振,李俊颉,徐荣花,刘建文,安宁,韩美轩"
52,特种兵之战狼归来,"刘飞,王朝晨,孙书磊,石运浩,徐超,杨强,张震,孙元文"
53,第十一回,"周迅,陈建斌,窦靖童,春夏,大鹏,宋佳"
54,机械师2：复活,"杰森·斯坦森,杰西卡·阿尔芭,汤米·李·琼斯,杨紫琼,山姆·哈兹尔丁,约翰·塞纳迭姆博,托比·艾丁顿,Femi,Elufowoju,Jr."
55,唐人街探案3,"王宝强,刘昊然,妻夫木聪,托尼·贾,长泽雅美,张子枫,铃木保奈美,染谷将太,浅野忠信,三浦友和,尚语贤,肖央,邱泽,张钧甯,马伯骞,程潇"
56,蛇王,"陈信喆,康宁,高子健"
57,神探蒲松龄,"成龙,阮经天,钟楚曦,林柏宏"
58,速度与激情8,"范·迪塞尔,道恩·强森,查理兹·塞隆,杰森·斯坦森,米歇尔·罗德里格兹,娜塔莉·伊曼纽尔,埃尔莎·帕塔奇,海伦·米伦"
59,摸金爵之卧龙诡阵,"侯佩杉,何其炜,李柏谊,吴春怡,郭德诚,石剑涛,李小鹏"
60,刺杀小说家,"雷佳音,杨幂,董子健,于和伟,郭京飞,佟丽娅,董洁,王圣迪,杨轶"
61,急先锋,"成龙,杨洋,艾伦,徐若晗,母其弥雅,朱正廷,楼学贤,郭芷妍,埃亚德·胡拉尼,杨建平,周斌,王延龙,王驹"
62,尖峰时刻2,"成龙,克里斯·塔克,尊龙,章子怡,罗塞莉·桑切斯,李美琪,曾江"
63,复仇者联盟4：终局之战,"小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,斯嘉丽·约翰逊,杰瑞米·雷纳,保罗·路德,凯伦·吉兰,唐·钱德尔,布丽·拉尔森,布莱德利·库珀,泰莎·汤普森,汤姆·赫兰德,伊丽莎白·奥尔森,本尼迪克特·康伯巴奇,蒂尔达·斯文顿,格温妮斯·帕特洛,蕾妮·罗素,约翰·斯拉特里,查德维克·博斯曼,安东尼·麦凯,塞巴斯蒂安·斯坦,克里斯·帕拉特,汤姆·希德勒斯顿,佐伊·索尔达娜,丹娜·奎里拉,本尼迪克特·王,庞·克莱门捷夫,戴夫·巴蒂斯塔,利蒂希娅·赖特,伊万杰琳·莉莉,乔恩·费儒,海莉·阿特维"
64,无双,"周润发,郭富城,张静初,冯文娟"
65,逆时营救,"杨幂,霍建华,金士杰,刘畅,张艺瀚,王俐丹"
66,极速之巅,"尼古拉斯·霍尔特,饰,Casey,Stein,菲丽希缇·琼斯,饰,Juliette,Marne,安东尼·霍普金斯,饰,Hagen,Kahl,本·金斯利,饰,Geran,克里斯蒂安·佩德森,饰,Kay"
67,速度与激情7,"范·迪塞尔,保罗·沃克,杰森·斯坦森,米歇尔·罗德里格兹,乔丹娜·布鲁斯特,泰瑞斯·吉布森"
68,破·局,"郭富城,王千源,刘涛,余皑磊,冯嘉怡,郑凯"
69,缉魂,"张震,张钧甯,孙安可,李铭顺,张柏嘉"
70,特工的特别任务,"安东尼奥·班德拉斯,梅格·瑞恩,科林·汉克斯,塞尔玛·布莱尔"
71,反贪风暴4,"古天乐,郑嘉颖,林峯,林家栋"
72,叶问3,"甄子丹,迈克·泰森,张晋,熊黛林,谭耀文,吴千语,喻亢,郑则仕,梁家仁,张继聪,陈国坤,刘以达,宗菲,曹操,王实,崔璨,刘艺菲"
73,王牌逗王牌,"刘德华,黄晓明,王祖蓝,"
74,速度与激情：特别行动,"道恩·强森,杰森·斯坦森,伊德里斯·艾尔巴,艾莎·冈萨雷斯,凡妮莎·柯比,埃迪·马森,罗曼·雷恩斯,斯蒂芬妮·沃格特,维克托里娅·菲斯,康兰·卡萨尔,海伦娜·福尔摩斯,伯纳多·桑托斯,露丝·霍洛克斯,大卫·穆梅尼,马诺伊·阿南德,阿玛尔·阿达蒂亚,朱利安·费罗,丹尼尔·厄根,拉普洛斯·卡伦福佐斯,阿克塞尔·努,史蒂夫·莱温顿,安东尼奥·曼奇诺,斯特拉·斯托克尔,基努·里维斯"
75,狄仁杰之通天帝国,"刘德华,刘嘉玲,李冰冰,梁家辉"
76,战狼2,"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗,丁海峰,淳于珊珊"
77,血战钢锯岭,"梅尔·吉布森,安德鲁·加菲尔德,萨姆·沃辛顿,文斯·沃恩,雨果·维文,"
78,寒战2,"郭富城,梁家辉,杨采妮"
79,的士速递4,"萨米·纳塞利,弗雷德里克·迪芬塔尔,Bernard,Farcy,艾玛·韦克伦德"
80,黑旋风,"薛汉,恬妮,蒋光超,张美瑶,欧威"
81,赌命双雄,"方中信,邵音音,谷峰,萧玉龙"
82,少林兄弟,"黄家达,唐威"
83,齐天大圣之火焰山,"陈浩民,罗米,李若彤,曾志伟"
84,至尊威龙,"龙方,郑富雄,武秀文"
85,夢中劍,"苗可秀,宗华,岳华,龙君儿,胡锦"
86,毒狼,"汪永芳,汤镇宗,狄威,林威,戚冠军"
87,发围,"黃錦燊,林建明,韩国材,陳鴻烈,劉家榮"
88,鬼马功夫,"汪禹,唐伟成,黄杏秀,刘家荣,徐少强,麦嘉,石天"
89,海魔,"IanSera,PattyShepard,FrankBraña"
90,狱凤之杀出重围,"惠英红,单立文,叶晨,尹扬明,陈洁灵"
91,青龙镇歼霸战,关德兴于素秋林蛟
92,疯孽劫,"庄静而,李子奇,汤正川,陈晓荣"
93,蛇蝎情人,"郑浩南,钟淑慧,李思蓓,罗家英"
94,四大家族之龙虎兄弟,"郑则仕,吕良伟,利智,曾江,黄光亮,陈惠敏,何家驹,胡枫,商天娥,黄子扬,刘志荣,韩义生,黎明诗,Ming,Si,Lai,夏春秋,史美仪,陈曙光"
95,十八罗汉,"李璇,欧威,丁强,柯俊雄,葛香亭"
96,猎鹿人,"梅丽尔·斯特里普,约翰·凯泽尔,罗伯特·德尼罗,约翰·萨维奇"
97,疯狂的麦克斯2,"梅尔·吉布森,布鲁斯·斯宾斯,弗农·威尔斯,维吉尼亚·海伊,威廉·扎帕,Max,Phipps,阿基·惠特利,Steve,J.,Spears,Syd,Heylen,泰勒·科宾,Harold,Baigent"
98,大象,"阿里克斯·弗罗斯特,约翰·罗宾森,埃里克·德伦,伊"
99,过关斩将,"阿诺德·施瓦辛格,玛利亚·康柯塔·阿隆索"
100,K.O.雷霆一击,"尚格·云顿,罗伯·施奈德,莱拉·罗琼,王敏德,李若彤,保罗·索维诺,陈豪,黄伟文"
101,野蛮人柯南,"阿诺·施瓦辛格,James,Earl,Jones,Max,von,Sydow,Ben,"
102,防弹,"亚当·桑德勒,达蒙·韦恩斯,詹姆斯·肯恩"
103,黄飞鸿之三：狮王争霸,"李连杰,关之琳,莫少聪,熊欣欣"
104,虎胆龙威,"布鲁斯·威利斯,艾伦·瑞克曼,邦妮·比蒂丽娅,亚历山大·乔杜诺夫,威廉·阿瑟东,哈特·巴克纳,詹姆斯·繁田"
105,省港旗兵,"陈敬,江龙,林国斌,林威,沈威,黄光亮,方烈,蓝湘森"
106,快餐车,"成龙,洪金宝,元彪,劳拉·福纳,张冲,吴耀汉,岑建勋,午马,冯淬帆,柯受良"
107,亡命大捕头,"史蒂夫·麦奎因,Steve,McQueen,埃里·瓦拉赫,Eli,Wallach,勒瓦尔·布尔顿,LeVar,Burton,凯思琳·哈罗德,本·约翰逊"
108,美国街头霸王,"JohnBarrett,KeithVitali,TerryNorton"
109,007之霹雳弹,"肖恩·康纳利,克劳迪娜·奥格尔,阿道弗·切利,卢仙娜·帕鲁兹,里克·范纳特,盖·唐尔曼"
110,肮脏的哈里,"克林特·伊斯特伍德,哈里·古蒂诺,雷尼·桑托尼,约翰·沃侬,安德鲁·罗宾逊"
111,霹雳神偷,"金·贝辛格,方·基默,特伦斯·斯坦普,杰拉德·萨尔汀"
112,逃亡之路,"金·贝辛格,亚历克·鲍德温"
113,狠将奇兵,"迈克尔·帕尔,戴安·琳恩,里克·莫拉尼斯,威廉·达福"
114,义海倾情,"凯文·科斯特纳,丹尼斯·奎德,吉恩·哈克曼,马克·哈蒙,吉姆·卡维泽"
115,中华战士,"杨紫琼,尔冬升,吴耀汉"
116,圣堂,"MarkDacascos,JaimzWoolvett,KylieTravis"
117,城市别动队,"史蒂芬·鲍德温,蒂亚·卡雷尔,查兹·帕尔明特瑞"
118,布利特,"史蒂夫·麦奎因,罗伯特·沃恩,杰奎琳·比塞特,唐·戈登,西蒙·奥克兰,诺曼·费尔,罗伯特·杜瓦尔,乔格·斯坦福·布朗,Justin,Tarr,Carl,Reindel,Felice,Orlandi,维克·泰拜克,Robert,Lipton,Ed,Peck,Pat,Renella"
119,超级魔鬼干部,"迈克尔·基顿,咪咪·罗杰斯,约翰·特托罗,渡边戈登,乔治·温迪特,山村"
120,少林门,"谭道良,田俊,成龙,朱青"
121,生死狂澜,乔恩·沃伊特布特·雷诺茨尼德·巴蒂罗尼·考克斯
122,邮船大浩劫,内详
123,暴走威龙,"迈克尔·杜迪考夫,Ardon·Bess,Michelle·Johnson"
124,铁马骝II之街头杀手,"甄子丹,原文庆,午马,周比利,刘畊宏"
125,夺宝奇兵3,"哈里森·福特,肖恩·康纳利,丹霍姆·艾略特,瑞凡·菲尼克斯"
126,海豹干将,"迈克尔·比恩,查理·辛"
127,不结婚的男人,"伯特·雷诺兹,吉尔·克雷伯格,坎迪斯·伯根,查尔斯·德恩,弗朗西斯·斯"
128,英雄本色3：夕阳之歌,"周润发,梅艳芳,梁家辉,张可颐"
